Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate
Males,All Races,Alabama,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,154622,.
Females,All Races,Alabama,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,148243,.
,All Races,Alabama,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,302865,.
Males,All Races,Alaska,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,28509,.
Females,All Races,Alaska,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,26761,.
,All Races,Alaska,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,55270,.
Males,All Races,Arizona,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,226143,.
Females,All Races,Arizona,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,217708,.
,All Races,Arizona,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,443851,.
Males,All Races,Arkansas,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,100182,.
Females,All Races,Arkansas,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,95904,.
,All Races,Arkansas,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,196086,.
Males,All Races,California,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,1295446,.
Females,All Races,California,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,1238610,.
,All Races,California,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,2534056,.
Males,All Races,Colorado,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,175261,.
Females,All Races,Colorado,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,166457,.
,All Races,Colorado,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,341718,.
Males,All Races,Connecticut,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,101159,.
Females,All Races,Connecticut,Both,00-04 yrs,2011,2011,Suicide Injury,2011,P,96851,.
