"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Males","All Races","Alabama","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","152506","."
"Females","All Races","Alabama","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","146411","."
"","All Races","Alabama","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","298917","."
"Males","All Races","Alaska","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","28328","."
"Females","All Races","Alaska","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","26693","."
"","All Races","Alaska","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","55021","."
"Males","All Races","Arizona","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","223090","."
"Females","All Races","Arizona","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","214123","."
"","All Races","Arizona","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","437213","."
"Males","All Races","Arkansas","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","99341","."
"Females","All Races","Arkansas","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","95010","."
"","All Races","Arkansas","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","194351","."
"Males","All Races","California","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","1285446","."
"Females","All Races","California","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","1229308","."
"","All Races","California","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","2514754","."
"Males","All Races","Colorado","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","173820","."
"Females","All Races","Colorado","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","164440","."
"","All Races","Colorado","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","338260","."
"Males","All Races","Connecticut","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","99235","."
"Females","All Races","Connecticut","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","95256","."
"","All Races","Connecticut","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","194491","."
"Males","All Races","Delaware","Both","00-04 yrs","2012","2012","Suicide Injury","2012","P","28554","."
