"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Males","All Races","Alabama","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","149108","."
"Females","All Races","Alabama","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","143865","."
"","All Races","Alabama","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","292973","."
"Males","All Races","Alaska","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","28598","."
"Females","All Races","Alaska","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","26851","."
"","All Races","Alaska","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","55449","."
"Males","All Races","Arizona","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","219550","."
"Females","All Races","Arizona","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","209694","."
"","All Races","Arizona","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","429244","."
"Males","All Races","Arkansas","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","97645","."
"Females","All Races","Arkansas","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","93213","."
"","All Races","Arkansas","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","190858","."
"Males","All Races","California","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","1282643","."
"Females","All Races","California","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","1226109","."
"","All Races","California","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","2508752","."
"Males","All Races","Colorado","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","172944","."
"Females","All Races","Colorado","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","162663","."
"","All Races","Colorado","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","335607","."
"Males","All Races","Connecticut","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","95542","."
"Females","All Races","Connecticut","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","92078","."
"","All Races","Connecticut","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","187620","."
"Males","All Races","Delaware","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","28353","."
"Females","All Races","Delaware","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","27485","."
"","All Races","Delaware","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","55838","."
"Males","All Races","District of Columbia","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","22026","."
"Females","All Races","District of Columbia","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","21326","."
"","All Races","District of Columbia","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","43352","."
"Males","All Races","Florida","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","562566","."
"Females","All Races","Florida","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","538505","."
"","All Races","Florida","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","1101071","."
"Males","All Races","Georgia","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","336214","."
"Females","All Races","Georgia","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","323831","."
"","All Races","Georgia","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","660045","."
"Males","All Races","Hawaii","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","47431","."
"Females","All Races","Hawaii","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","44981","."
"","All Races","Hawaii","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","92412","."
"Males","All Races","Idaho","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","57258","."
"Females","All Races","Idaho","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","55665","."
"","All Races","Idaho","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","112923","."
"Males","All Races","Illinois","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","399356","."
"Females","All Races","Illinois","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","384306","."
"","All Races","Illinois","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","783662","."
"Males","All Races","Indiana","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","215219","."
"Females","All Races","Indiana","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","204271","."
"","All Races","Indiana","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","419490","."
"Males","All Races","Iowa","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","100752","."
"Females","All Races","Iowa","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","96029","."
"","All Races","Iowa","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","196781","."
"Males","All Races","Kansas","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","101377","."
"Females","All Races","Kansas","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","96103","."
"","All Races","Kansas","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","197480","."
"Males","All Races","Kentucky","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","142730","."
"Females","All Races","Kentucky","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","134659","."
"","All Races","Kentucky","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","277389","."
"Males","All Races","Louisiana","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","158503","."
"Females","All Races","Louisiana","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","152314","."
"","All Races","Louisiana","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","310817","."
"Males","All Races","Maine","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","33218","."
"Females","All Races","Maine","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","31469","."
"","All Races","Maine","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","64687","."
"Males","All Races","Maryland","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","188522","."
"Females","All Races","Maryland","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","180513","."
"","All Races","Maryland","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","369035","."
"Males","All Races","Massachusetts","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","187472","."
"Females","All Races","Massachusetts","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","179090","."
"","All Races","Massachusetts","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","366562","."
"Males","All Races","Michigan","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","293064","."
"Females","All Races","Michigan","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","278712","."
"","All Races","Michigan","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","571776","."
"Males","All Races","Minnesota","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","179401","."
"Females","All Races","Minnesota","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","171133","."
"","All Races","Minnesota","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","350534","."
"Males","All Races","Mississippi","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","98446","."
"Females","All Races","Mississippi","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","94336","."
"","All Races","Mississippi","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","192782","."
"Males","All Races","Missouri","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","191990","."
"Females","All Races","Missouri","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","182370","."
"","All Races","Missouri","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","374360","."
"Males","All Races","Montana","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","31425","."
"Females","All Races","Montana","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","30461","."
"","All Races","Montana","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","61886","."
"Males","All Races","Nebraska","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","66886","."
"Females","All Races","Nebraska","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","63745","."
"","All Races","Nebraska","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","130631","."
"Males","All Races","Nevada","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","90189","."
"Females","All Races","Nevada","Both","00-04 yrs","2015","2015","Suicide Injury","2015","P","86428","."
